LONG_ID,ELDERLY,WORKING_AGE,YOUTH
18001 2000,4506,17645,14176
18003 2000,37760,192848,126681
18005 2000,8652,42341,25702
18007 2000,1477,5083,3487
18009 2000,2169,8075,4717
18011 2000,5450,26641,17370
18013 2000,1923,9235,4590
18015 2000,2806,11552,7175
18017 2000,5922,23333,14521
18019 2000,11877,58770,32335
18021 2000,4012,14871,9416
18023 2000,4873,18830,12553
18025 2000,1357,6354,3712
18027 2000,4358,15978,11759
18029 2000,5158,26986,17118
18031 2000,3261,14209,8922
18033 2000,4587,23366,15393
18035 2000,15989,70406,39383
18037 2000,5124,22704,14684
18039 2000,19841,105037,72713
18041 2000,3956,14752,8527
18043 2000,8736,41928,24762
18045 2000,2794,10022,6329
18047 2000,2770,12593,8328
18049 2000,3152,11510,7197
18051 2000,5046,18499,11046
18053 2000,11005,42114,24637
18055 2000,5060,19098,11069
18057 2000,13659,109495,76164
18059 2000,6226,33201,19718
18061 2000,3929,20485,12126
18063 2000,10138,62388,39147
18065 2000,7602,28066,15864
18067 2000,11336,49799,29807
18069 2000,5357,21542,13712
18071 2000,5503,24250,14487
18073 2000,3737,17041,11342
18075 2000,3204,12179,8013
18077 2000,4162,18673,10836
18079 2000,2947,16306,10370
18081 2000,12638,68213,42943
18083 2000,6029,22116,13410
18085 2000,8877,42650,28049
18087 2000,3493,18413,16435
18089 2000,63234,277569,178400
18091 2000,14912,65472,36838
18093 2000,6788,26826,15291
18095 2000,19898,78093,43874
18097 2000,95534,520211,308349
18099 2000,6003,25237,17178
18101 2000,1472,6026,3525
18103 2000,4642,21211,12542
18105 2000,11074,77202,38406
18107 2000,5222,21554,13360
18109 2000,7100,39740,24653
18111 2000,1870,8440,5158
18113 2000,5102,26455,18413
18115 2000,773,3315,1865
18117 2000,2868,11009,6730
18119 2000,2797,12651,7717
18121 2000,2530,10189,5462
18123 2000,2818,11170,5932
18125 2000,1964,7473,4185
18127 2000,15972,88287,52027
18129 2000,3363,15642,9774
18131 2000,2112,7581,4907
18133 2000,4441,21537,12256
18135 2000,4332,15482,9422
18137 2000,3551,14891,10039
18139 2000,2695,10253,6558
18141 2000,36101,150846,97285
18143 2000,2542,13802,8309
18145 2000,5279,25487,15628
18147 2000,2642,11869,7156
18149 2000,3269,13342,8465
18151 2000,3936,19611,11866
18153 2000,3066,13200,6708
18155 2000,1139,5321,3179
18157 2000,13532,92573,51621
18159 2000,2411,9593,5586
18161 2000,949,4204,2710
18163 2000,26328,99673,56609
18165 2000,2654,9687,5497
18167 2000,15048,61836,35426
18169 2000,5486,19682,11865
18171 2000,1173,4873,2882
18173 2000,5665,31419,18744
18175 2000,3278,16006,9762
18177 2000,11166,40646,23715
18179 2000,3891,15415,10129
18181 2000,3747,14379,8760
18183 2000,4004,17691,11113
19001 2000,1821,4250,2618
19003 2000,960,2367,1402
19005 2000,2700,7916,4918
19007 2000,2738,7378,4368
19009 2000,1604,3339,2283
19011 2000,3902,13885,9159
19013 2000,17899,74771,43169
19015 2000,4295,14706,8803
19017 2000,3733,12921,7962
19019 2000,3056,11432,8055
19021 2000,3441,10905,7274
19023 2000,3077,8145,4930
19025 2000,2458,5836,3391
19027 2000,4005,11089,7614
19029 2000,3053,7776,4652
19031 2000,2952,10178,6159
19033 2000,8219,25713,15272
19035 2000,2654,6845,4253
19037 2000,2345,7004,4498
19039 2000,1560,4937,3219
19041 2000,3124,9544,5758
19043 2000,3462,10001,6292
19045 2000,7934,27995,17447
19047 2000,2904,9064,6053
19049 2000,4531,23815,15776
19051 2000,1486,4518,3141
19053 2000,1535,4653,2982
19055 2000,2760,9849,6969
19057 2000,7067,23727,14219
19059 2000,3389,9104,4809
19061 2000,13103,50271,31689
19063 2000,2135,5790,3705
19065 2000,4191,11696,7432
19067 2000,3249,8993,5703
19069 2000,2196,5614,3495
19071 2000,1589,4232,2634
19073 2000,2240,5219,3509
19075 2000,2386,6597,4050
19077 2000,2328,6115,3536
19079 2000,2962,8916,5617
19081 2000,2170,6408,4259
19083 2000,3886,9644,6358
19085 2000,2766,8432,5410
19087 2000,2990,11732,6830
19089 2000,1999,5083,3446
19091 2000,2179,5335,3429
19093 2000,1706,3966,2598
19095 2000,2681,8484,5478
19097 2000,3508,11032,6949
19099 2000,5963,21281,12282
19101 2000,2231,9592,5235
19103 2000,8265,73117,36052
19105 2000,3199,11682,6468
19107 2000,2301,5870,3907
19109 2000,3454,8868,5772
19111 2000,6297,21568,12456
19113 2000,23465,113755,67906
19115 2000,1712,6787,4564
19117 2000,1821,4954,3216
19119 2000,2211,5952,4388
19121 2000,2128,7739,5139
19123 2000,3650,12276,7891
19125 2000,5101,17707,11259
19127 2000,6453,21858,13557
19129 2000,1836,8431,5203
19131 2000,2346,5377,3813
19133 2000,2398,5084,3069
19135 2000,1566,4227,2735
19137 2000,2385,6176,3923
19139 2000,5399,23987,15224
19141 2000,3191,7737,5063
19143 2000,1326,3682,2406
19145 2000,3364,9264,5294
19147 2000,2163,5165,3369
19149 2000,3964,13181,9345
19151 2000,1881,4399,2806
19153 2000,41752,226618,134186
19155 2000,11972,50350,31178
19157 2000,3317,10414,6122
19159 2000,1312,2709,1768
19161 2000,2614,5853,3706
19163 2000,18677,93619,57361
19165 2000,2688,6717,4541
19167 2000,4753,16426,12502
19169 2000,7870,50494,25753
19171 2000,3390,9465,6503
19173 2000,1556,3540,2248
19175 2000,2297,6719,4018
19177 2000,1491,4196,2557
19179 2000,6415,20050,11729
19181 2000,4815,23515,15119
19183 2000,3694,11115,7243
19185 2000,1601,3381,2086
19187 2000,6990,21933,13848
19189 2000,2218,6208,3951
19191 2000,3345,11797,7256
19193 2000,13878,58320,39621
19195 2000,1532,4288,2537
19197 2000,3038,7463,4649
20001 2000,2593,7598,5044
20003 2000,1626,4139,2848
20005 2000,2723,8886,6233
20007 2000,1141,2702,1732
20009 2000,5043,14829,10126
20011 2000,2804,8046,5474
20013 2000,2089,5514,3805
20015 2000,7483,33160,22970
20017 2000,568,1653,991
20019 2000,1061,2157,1336
20021 2000,3425,12554,8187
20023 2000,842,1499,973
20025 2000,521,1177,838
20027 2000,1831,4585,2881
20029 2000,2384,5112,3278
20031 2000,1439,4841,3110
20033 2000,508,994,576
20035 2000,5770,19720,13113
20037 2000,5910,21753,13025
20039 2000,909,1674,1046
20041 2000,3599,10350,6498
20043 2000,1334,4388,3052
20045 2000,7937,64490,33103
20047 2000,717,1782,1152
20049 2000,825,1641,933
20051 2000,3939,15952,9198
20053 2000,1329,3643,1827
20055 2000,2829,22368,19574
20057 2000,3566,17708,14219
20059 2000,3476,13780,9216
20061 2000,2634,16129,11819
20063 2000,696,1491,1063
20065 2000,697,1530,852
20067 2000,763,4304,3530
20069 2000,749,3125,2489
20071 2000,271,792,574
20073 2000,1750,3920,2423
20075 2000,490,1354,1010
20077 2000,1519,3253,2133
20079 2000,5512,17754,11770
20081 2000,457,2309,1933
20083 2000,396,1039,751
20085 2000,1889,6874,4768
20087 2000,2358,10519,6727
20089 2000,983,1905,1076
20091 2000,45069,273823,165835
20093 2000,504,2344,2083
20095 2000,1697,4405,3099
20097 2000,699,1698,1062
20099 2000,3960,12284,8003
